2025-10-24 13:39:41,475 - [INFO] - 步骤 1: 初始化投标优化模型...
2025-10-24 13:39:41,476 - [INFO] - 步驟 2: 執行神經動力學自適應網格投標策略優化...
2025-10-24 13:39:41,476 - [INFO] - --- 開始執行神經動力學自適應網格投標策略優化（模式: full）---
2025-10-24 13:39:41,490 - [INFO] - ✅ 数据输入配置:
2025-10-24 13:39:41,490 - [INFO] -   DAM（日前市场）: 'ensemble' (预测输出)
2025-10-24 13:39:41,491 - [INFO] -   RTM（实时市场）: 'actual' (ensemble预测)
2025-10-24 13:39:41,491 - [INFO] - ✅ 价格数据加载完成:
2025-10-24 13:39:41,971 - [INFO] - 粗網格優化進度: 44/151, 當前DA價格: 393.00
2025-10-24 13:39:41,987 - [INFO] - 粗網格優化進度: 45/151, 當前DA價格: 394.00
2025-10-24 13:39:42,003 - [INFO] - 粗網格優化進度: 46/151, 當前DA價格: 395.00
2025-10-24 13:39:42,022 - [INFO] - 粗網格優化進度: 47/151, 當前DA價格: 396.00
2025-10-24 13:39:42,039 - [INFO] - 粗網格優化進度: 48/151, 當前DA價格: 397.00
2025-10-24 13:39:42,048 - [INFO] - 粗網格優化進度: 49/151, 當前DA價格: 398.00
2025-10-24 13:39:42,080 - [INFO] - 粗網格優化進度: 50/151, 當前DA價格: 399.00
2025-10-24 13:39:42,091 - [INFO] - 粗網格優化進度: 51/151, 當前DA價格: 400.00
2025-10-24 13:39:42,097 - [INFO] - 粗網格優化進度: 52/151, 當前DA價格: 401.00
2025-10-24 13:39:42,105 - [INFO] - 粗網格優化進度: 53/151, 當前DA價格: 402.00
2025-10-24 13:39:42,118 - [INFO] - 粗網格優化進度: 54/151, 當前DA價格: 403.00
2025-10-24 13:39:42,130 - [INFO] - 粗網格優化進度: 55/151, 當前DA價格: 404.00
2025-10-24 13:39:42,149 - [INFO] - 粗網格優化進度: 56/151, 當前DA價格: 405.00
2025-10-24 13:39:42,154 - [INFO] - 粗網格優化進度: 57/151, 當前DA價格: 406.00
2025-10-24 13:39:42,159 - [INFO] - 粗網格優化進度: 58/151, 當前DA價格: 407.00
2025-10-24 13:39:42,167 - [INFO] - 粗網格優化進度: 59/151, 當前DA價格: 408.00
2025-10-24 13:39:42,171 - [INFO] - 粗網格優化進度: 60/151, 當前DA價格: 409.00
2025-10-24 13:39:42,172 - [INFO] - 粗網格優化進度: 61/151, 當前DA價格: 410.00
2025-10-24 13:39:42,174 - [INFO] - 粗網格優化進度: 62/151, 當前DA價格: 411.00
2025-10-24 13:39:42,175 - [INFO] - 粗網格優化進度: 63/151, 當前DA價格: 412.00
2025-10-24 13:39:42,194 - [INFO] - 粗網格優化進度: 64/151, 當前DA價格: 413.00
2025-10-24 13:39:42,197 - [INFO] - 粗網格優化進度: 65/151, 當前DA價格: 414.00
2025-10-24 13:39:42,202 - [INFO] - 粗網格優化進度: 66/151, 當前DA價格: 415.00
2025-10-24 13:39:42,210 - [INFO] - 粗網格優化進度: 67/151, 當前DA價格: 416.00
2025-10-24 13:39:42,222 - [INFO] - 粗網格優化進度: 68/151, 當前DA價格: 417.00
2025-10-24 13:39:42,230 - [INFO] - 粗網格優化進度: 69/151, 當前DA價格: 418.00
2025-10-24 13:39:42,236 - [INFO] - 粗網格優化進度: 70/151, 當前DA價格: 419.00
2025-10-24 13:39:42,248 - [INFO] - 粗網格優化進度: 71/151, 當前DA價格: 420.00
2025-10-24 13:39:42,253 - [INFO] - 粗網格優化進度: 72/151, 當前DA價格: 421.00
2025-10-24 13:39:42,259 - [INFO] - 粗網格優化進度: 73/151, 當前DA價格: 422.00
2025-10-24 13:39:42,267 - [INFO] - 粗網格優化進度: 74/151, 當前DA價格: 423.00
2025-10-24 13:39:42,268 - [INFO] - 粗網格優化進度: 75/151, 當前DA價格: 424.00
2025-10-24 13:39:42,273 - [INFO] - 粗網格優化進度: 76/151, 當前DA價格: 425.00
2025-10-24 13:39:42,281 - [INFO] - 粗網格優化進度: 77/151, 當前DA價格: 426.00
2025-10-24 13:39:42,284 - [INFO] - 粗網格優化進度: 78/151, 當前DA價格: 427.00
2025-10-24 13:39:42,291 - [INFO] - 粗網格優化進度: 79/151, 當前DA價格: 428.00
2025-10-24 13:39:42,293 - [INFO] - 粗網格優化進度: 80/151, 當前DA價格: 429.00
2025-10-24 13:39:42,296 - [INFO] - 粗網格優化進度: 81/151, 當前DA價格: 430.00
2025-10-24 13:39:42,306 - [INFO] - 粗網格優化進度: 82/151, 當前DA價格: 431.00
2025-10-24 13:39:42,308 - [INFO] - 粗網格優化進度: 83/151, 當前DA價格: 432.00
2025-10-24 13:39:42,313 - [INFO] - 粗網格優化進度: 84/151, 當前DA價格: 433.00
2025-10-24 13:39:42,327 - [INFO] - 粗網格優化進度: 85/151, 當前DA價格: 434.00
2025-10-24 13:39:42,328 - [INFO] - 粗網格優化進度: 86/151, 當前DA價格: 435.00
2025-10-24 13:39:42,332 - [INFO] - 粗網格優化進度: 87/151, 當前DA價格: 436.00
2025-10-24 13:39:42,333 - [INFO] - 粗網格優化進度: 88/151, 當前DA價格: 437.00
2025-10-24 13:39:42,340 - [INFO] - 粗網格優化進度: 89/151, 當前DA價格: 438.00
2025-10-24 13:39:42,342 - [INFO] - 粗網格優化進度: 90/151, 當前DA價格: 439.00
2025-10-24 13:39:42,343 - [INFO] - 粗網格優化進度: 91/151, 當前DA價格: 440.00
2025-10-24 13:39:42,345 - [INFO] - 粗網格優化進度: 92/151, 當前DA價格: 441.00
2025-10-24 13:39:42,346 - [INFO] - 粗網格優化進度: 93/151, 當前DA價格: 442.00
2025-10-24 13:39:42,359 - [INFO] - 粗網格優化進度: 94/151, 當前DA價格: 443.00
2025-10-24 13:39:42,360 - [INFO] - 粗網格優化進度: 95/151, 當前DA價格: 444.00
2025-10-24 13:39:42,361 - [INFO] - 粗網格優化進度: 96/151, 當前DA價格: 445.00
2025-10-24 13:39:42,362 - [INFO] - 粗網格優化進度: 97/151, 當前DA價格: 446.00
2025-10-24 13:39:42,362 - [INFO] - 粗網格優化進度: 98/151, 當前DA價格: 447.00
2025-10-24 13:39:42,365 - [INFO] - 粗網格優化進度: 99/151, 當前DA價格: 448.00
2025-10-24 13:39:42,368 - [INFO] - 粗網格優化進度: 100/151, 當前DA價格: 449.00
2025-10-24 13:39:42,373 - [INFO] - 粗網格優化進度: 101/151, 當前DA價格: 450.00
2025-10-24 13:39:42,374 - [INFO] - 粗網格優化進度: 102/151, 當前DA價格: 451.00
2025-10-24 13:39:42,375 - [INFO] - 粗網格優化進度: 103/151, 當前DA價格: 452.00
2025-10-24 13:39:42,376 - [INFO] - 粗網格優化進度: 104/151, 當前DA價格: 453.00
2025-10-24 13:39:42,377 - [INFO] - 粗網格優化進度: 105/151, 當前DA價格: 454.00
2025-10-24 13:39:42,381 - [INFO] - 粗網格優化進度: 106/151, 當前DA價格: 455.00
2025-10-24 13:39:42,383 - [INFO] - 粗網格優化進度: 107/151, 當前DA價格: 456.00
2025-10-24 13:39:42,384 - [INFO] - 粗網格優化進度: 108/151, 當前DA價格: 457.00
2025-10-24 13:39:42,395 - [INFO] - 粗網格優化進度: 109/151, 當前DA價格: 458.00
2025-10-24 13:39:42,396 - [INFO] - 粗網格優化進度: 110/151, 當前DA價格: 459.00
2025-10-24 13:39:42,402 - [INFO] - 粗網格優化進度: 111/151, 當前DA價格: 460.00
2025-10-24 13:39:42,405 - [INFO] - 粗網格優化進度: 112/151, 當前DA價格: 461.00
2025-10-24 13:39:42,413 - [INFO] - 粗網格優化進度: 113/151, 當前DA價格: 462.00
2025-10-24 13:39:42,414 - [INFO] - 粗網格優化進度: 114/151, 當前DA價格: 463.00
2025-10-24 13:39:42,417 - [INFO] - 粗網格優化進度: 115/151, 當前DA價格: 464.00
2025-10-24 13:39:42,418 - [INFO] - 粗網格優化進度: 116/151, 當前DA價格: 465.00
2025-10-24 13:39:42,418 - [INFO] - 粗網格優化進度: 117/151, 當前DA價格: 466.00
2025-10-24 13:39:42,419 - [INFO] - 粗網格優化進度: 118/151, 當前DA價格: 467.00
2025-10-24 13:39:42,434 - [INFO] - 粗網格優化進度: 119/151, 當前DA價格: 468.00
2025-10-24 13:39:42,435 - [INFO] - 粗網格優化進度: 120/151, 當前DA價格: 469.00
2025-10-24 13:39:42,436 - [INFO] - 粗網格優化進度: 121/151, 當前DA價格: 470.00
2025-10-24 13:39:42,447 - [INFO] - 粗網格優化進度: 122/151, 當前DA價格: 471.00
2025-10-24 13:39:42,450 - [INFO] - 粗網格優化進度: 123/151, 當前DA價格: 472.00
2025-10-24 13:39:42,450 - [INFO] - 粗網格優化進度: 124/151, 當前DA價格: 473.00
2025-10-24 13:39:42,455 - [INFO] - 粗網格優化進度: 125/151, 當前DA價格: 474.00
2025-10-24 13:39:42,459 - [INFO] - 粗網格優化進度: 126/151, 當前DA價格: 475.00
2025-10-24 13:39:42,460 - [INFO] - 粗網格優化進度: 127/151, 當前DA價格: 476.00
2025-10-24 13:39:42,475 - [INFO] - 粗網格優化進度: 128/151, 當前DA價格: 477.00
2025-10-24 13:39:42,491 - [INFO] - 粗網格優化進度: 129/151, 當前DA價格: 478.00
2025-10-24 13:39:42,508 - [INFO] - 粗網格優化進度: 130/151, 當前DA價格: 479.00
2025-10-24 13:39:42,509 - [INFO] - 粗網格優化進度: 131/151, 當前DA價格: 480.00
2025-10-24 13:39:42,514 - [INFO] - 粗網格優化進度: 132/151, 當前DA價格: 481.00
2025-10-24 13:39:42,520 - [INFO] - 粗網格優化進度: 133/151, 當前DA價格: 482.00
2025-10-24 13:39:42,527 - [INFO] - 粗網格優化進度: 134/151, 當前DA價格: 483.00
2025-10-24 13:39:42,528 - [INFO] - 粗網格優化進度: 135/151, 當前DA價格: 484.00
2025-10-24 13:39:42,533 - [INFO] - 粗網格優化進度: 136/151, 當前DA價格: 485.00
2025-10-24 13:39:42,544 - [INFO] - 粗網格優化進度: 137/151, 當前DA價格: 486.00
2025-10-24 13:39:42,546 - [INFO] - 粗網格優化進度: 138/151, 當前DA價格: 487.00
2025-10-24 13:39:42,551 - [INFO] - 粗網格優化進度: 139/151, 當前DA價格: 488.00
2025-10-24 13:39:42,554 - [INFO] - 粗網格優化進度: 140/151, 當前DA價格: 489.00
2025-10-24 13:39:42,558 - [INFO] - 粗網格優化進度: 141/151, 當前DA價格: 490.00
2025-10-24 13:39:42,560 - [INFO] - 粗網格優化進度: 142/151, 當前DA價格: 491.00
2025-10-24 13:39:42,566 - [INFO] - 粗網格優化進度: 143/151, 當前DA價格: 492.00
2025-10-24 13:39:42,577 - [INFO] - 粗網格優化進度: 144/151, 當前DA價格: 493.00
2025-10-24 13:39:42,584 - [INFO] - 粗網格優化進度: 145/151, 當前DA價格: 494.00
2025-10-24 13:39:42,591 - [INFO] - 粗網格優化進度: 146/151, 當前DA價格: 495.00
2025-10-24 13:39:42,592 - [INFO] - 粗網格優化進度: 147/151, 當前DA價格: 496.00
2025-10-24 13:39:42,596 - [INFO] - 粗網格優化進度: 148/151, 當前DA價格: 497.00
2025-10-24 13:39:42,600 - [INFO] - 粗網格優化進度: 149/151, 當前DA價格: 498.00
2025-10-24 13:39:42,601 - [INFO] - 粗網格優化進度: 150/151, 當前DA價格: 499.00
2025-10-24 13:39:42,605 - [INFO] - 粗網格優化進度: 151/151, 當前DA價格: 500.00
2025-10-24 13:39:42,608 - [INFO] - 粗網格優化完成，成功優化 151/151 個價格點
2025-10-24 13:39:42,608 - [INFO] - 收敛統計: 151/151 個點收敛
2025-10-24 13:39:42,608 - [INFO] - 平均迭代次數: 21.7
2025-10-24 13:39:42,608 - [INFO] - 第二步：檢測門檻策略區域
2025-10-24 13:39:42,608 - [INFO] - 檢測到門檻區域: (354.0, 355.0), P_DA變化: 0.0 -> 100.0 MW
